transaction_id,account_id,transaction_date,amount,transaction_type,merchant_id
1,321,2024-07-26 06:15:49,81.56,debit,43
2,107,2023-12-27 21:01:04,186.05,credit,40
3,232,2024-08-14 18:10:10,81.97,debit,33
4,42,2023-08-11 03:07:57,67.29,credit,39
5,702,2022-10-03 20:20:04,1.4,credit,3
6,883,2022-02-12 06:55:05,100.73,debit,13
7,139,2022-03-07 00:28:44,15.99,debit,38
8,615,2023-11-05 14:41:18,173.6,credit,46
9,683,2024-08-11 02:33:22,35.77,credit,13
10,863,2023-07-01 12:17:09,134.57,credit,26
11,273,2024-07-04 05:47:29,124.69,credit,34
12,481,2022-07-02 16:18:50,115.06,credit,11
13,416,2024-03-27 22:04:02,37.27,debit,33
14,506,2024-02-01 07:20:39,37.29,debit,21
15,733,2022-11-19 13:52:28,238.58,credit,23
16,725,2022-03-17 07:19:37,1.55,credit,40
17,853,2022-11-22 16:53:35,24.04,debit,21
18,424,2023-11-27 06:16:55,113.05,debit,39
19,407,2022-06-28 00:02:10,203.82,debit,46
20,568,2024-05-30 04:12:39,53.24,debit,18
21,390,2022-02-12 00:57:21,127.17,debit,11
22,342,2022-01-17 21:46:53,97.74,debit,17
23,946,2022-11-24 10:25:35,8.01,credit,49
24,614,2024-04-07 02:13:41,116.66,credit,42
25,933,2022-09-05 14:12:48,201.78,debit,1
26,493,2024-08-10 06:38:31,586.32,credit,3
27,192,2023-01-11 19:08:53,3.61,credit,5
28,499,2024-01-16 20:52:32,129.48,debit,24
29,822,2023-09-20 23:18:04,64.24,debit,39
30,712,2022-02-11 15:29:04,1.18,debit,32
31,233,2023-05-03 14:16:09,114.34,credit,18
32,945,2024-06-19 20:18:37,15.67,credit,41
33,227,2023-06-08 22:58:13,57.09,credit,46
34,371,2022-10-26 12:14:46,36.35,credit,45
35,139,2022-08-08 05:06:55,53.77,credit,40
36,856,2024-06-26 15:06:27,81.44,credit,48
37,817,2023-06-27 01:59:59,53.41,debit,20
38,149,2024-04-15 10:01:02,96.55,debit,2
39,115,2022-11-21 16:21:57,32.72,debit,8
40,450,2023-05-07 19:03:23,121.06,credit,2
41,63,2024-05-09 13:05:19,230.7,credit,43
42,104,2022-08-24 11:30:43,30.44,debit,18
43,851,2022-03-05 01:22:22,85.08,credit,10
44,871,2023-09-15 17:44:04,125.53,credit,3
45,668,2022-05-20 09:54:25,99.79,debit,44
46,273,2024-08-02 05:42:28,54.62,debit,2
47,6,2023-10-30 03:56:15,123.33,credit,48
48,147,2022-04-17 02:32:23,3.44,debit,34
49,184,2023-12-15 15:59:27,55.43,debit,6
50,998,2023-11-15 12:49:01,91.27,credit,47
51,28,2022-08-14 19:11:06,2.5,credit,43
52,962,2023-08-12 13:01:33,85.03,credit,21
53,550,2022-05-03 16:59:32,127.45,credit,16
54,119,2022-11-03 05:38:46,170.86,debit,46
55,293,2024-08-16 10:15:48,14.44,debit,16
56,371,2024-04-13 20:16:53,559.6,debit,2
57,244,2023-02-19 20:24:51,111.82,debit,16
58,580,2023-02-06 17:21:26,54.15,debit,32
59,726,2022-11-24 03:55:39,34.38,credit,38
60,218,2024-06-05 01:47:58,102.09,debit,16
61,177,2023-08-29 20:05:00,256.16,credit,8
62,299,2022-01-31 18:12:06,88.22,debit,47
63,676,2022-03-08 01:43:33,129.98,debit,27
64,58,2023-12-04 10:55:18,53.12,debit,4
65,269,2022-07-16 07:46:18,58.95,debit,32
66,308,2023-06-12 05:08:13,40.45,credit,21
67,570,2023-10-03 05:48:09,146.75,debit,14
68,288,2023-06-02 08:36:24,53.4,debit,50
69,977,2022-11-14 13:31:33,25.39,credit,5
70,105,2022-10-18 21:22:11,55.33,credit,24
71,228,2023-08-31 20:37:10,230.76,credit,30
72,247,2023-01-27 20:52:19,160.84,debit,36
73,700,2023-08-20 22:30:00,48.89,credit,21
74,494,2024-04-25 14:21:37,284.77,debit,30
75,83,2023-10-04 22:39:33,9.33,debit,24
76,186,2023-10-18 02:46:33,6.12,credit,23
77,252,2024-09-16 22:54:21,16.36,debit,32
78,355,2023-08-04 12:23:21,14.86,debit,26
79,750,2024-07-04 18:56:18,11.03,credit,20
80,872,2023-06-01 00:45:06,129.93,debit,34
81,696,2023-04-27 08:13:46,110.21,credit,2
82,796,2023-06-07 21:12:01,125.16,debit,9
83,897,2022-04-05 19:27:32,139.91,credit,45
84,938,2022-01-04 12:00:55,169.7,credit,15
85,210,2024-04-23 08:39:39,27.86,credit,2
86,816,2022-07-02 00:33:43,116.84,debit,1
87,808,2023-03-05 04:59:09,104.11,debit,47
88,609,2024-07-06 12:13:36,345.16,debit,21
89,447,2023-04-14 19:57:01,31.73,credit,9
90,460,2022-10-16 00:54:39,7.26,credit,48
91,968,2024-04-13 10:44:50,127.18,credit,41
92,472,2023-06-24 23:31:24,161.73,credit,27
93,720,2023-12-07 13:23:15,39.95,debit,38
94,370,2023-10-12 22:41:22,101.51,debit,48
95,900,2023-12-03 06:30:50,7.37,debit,50
96,934,2023-01-14 19:03:50,386.4,debit,20
97,492,2022-04-05 19:49:52,13.97,debit,22
98,923,2022-01-04 20:42:46,8.4,debit,17
99,137,2022-08-17 16:27:23,5.41,credit,50
100,367,2022-12-04 08:04:49,66.88,credit,2
101,912,2024-02-07 18:42:43,12.27,debit,15
102,184,2023-03-01 14:09:13,163.81,debit,49
103,588,2023-01-24 02:31:40,274.97,debit,9
104,287,2022-07-22 17:31:39,36.17,credit,33
105,472,2022-04-13 02:17:03,118.91,debit,45
106,375,2022-09-16 19:58:05,5.19,credit,33
107,654,2022-07-12 17:08:44,58.64,credit,4
108,749,2023-12-31 17:18:07,41.6,debit,1
109,537,2024-09-08 12:18:01,31.15,credit,9
110,511,2022-12-01 01:19:28,124.18,credit,8
111,802,2022-03-04 16:11:01,16.74,debit,16
